Boruc | is | Polish
Boruc | is | professional
his career | is in | Polish third division
He | began | his career in Polish third division
He | began | his career in third division with hometown club Pogoń Siedlce
He | began | his career in Polish division
He | began | his career
He | began | his career in Polish third division with hometown club Pogoń Siedlce
his career | is with | hometown club Pogoń Siedlce
He | began | his career in division with hometown club Pogoń Siedlce
He | began | his career in Polish division with hometown club Pogoń Siedlce
He | began | his career in third division
He | began | his career in division
He | began | his career with hometown club Pogoń Siedlce
He | joined Ekstraklasa team Legia Warsaw in | 1999
He | joined Ekstraklasa team Legia Warsaw whilst | still reserve
He | joined Ekstraklasa team Legia Warsaw whilst | reserve
Dolcan Ząbki | is in | 2000
He | joined | Ekstraklasa team Legia Warsaw
club | has | first choice goalkeeper
Boruc | broke through | through Legia first team
Boruc | become | club 's choice goalkeeper
Boruc | broke in | 2002
Boruc | become by | 2003
Boruc | broke through | through Legia team
Boruc | become | club 's first choice goalkeeper
he | joined | Scottish Premier League side Celtic
he | joined Premier League side Celtic In | summer of 2005
he | joined Premier League side Celtic In | summer
he | joined | Premier League side Celtic
his five years | is in | Glasgow
Boruc | winning | league
Boruc | winning league at_time | three times
He | moving to | Bournemouth
He | moved in | 2010
He | join | Fiorentina
He | moving in | 2015
He | moving after | season
He | moving after | season on loan
He | moved | moving
He | moved | moving in 2015
Boruc | became | regular in Polish international squad
Boruc | made | his international debut against Republic of Ireland
Boruc | made | his debut against Republic
Boruc | made | his debut against Republic of Ireland
Boruc | became | regular
Boruc | became | regular in Polish squad
Boruc | made | his international debut
Boruc | made | his international debut against Republic
Boruc | became | regular in squad
Boruc | made | his debut
Boruc | became | regular in international squad
He | represented | nation
He | represented nation at | 2006 FIFA World Cup
Boruc | Born in | Siedlce
Boruc | began | his career
Boruc | joined | Legia Warsaw
he | came during | 2 2 draw
he | came on | on substitute
he | came during | 2 2 draw against Pogoń Szczecin
Boruc | played | his first league match
Boruc | played | his league match
game | during injury is | Radostin Stanev
Legia | in | next four league matches
Stanev | regained | his place
Boruc | played in | Legia 's four league matches
Boruc | kept | clean sheets against Wisła Kraków
Boruc | kept | clean sheets
Boruc | played in | Legia 's next four league matches
Boruc | kept | sheets against Wisła Kraków
Boruc | kept | sheets
first time | is in | seven years
Legia | win | Ekstraklasa title
club | of | last 15 league fixtures
Boruc | established | himself
he | played in | 11 club 's 15 league fixtures
he | played in | 11 of club 's 15 league fixtures
he | played in | 11 club 's last 15 league fixtures
club | as | first choice goalkeeper
he | played in | 11 of club 's last 15 league fixtures
Legia | managed | finish fourth
Legia | only managed | finish fourth
Legia | managed | finish
Legia | only managed | finish
Boruc | scored | his goal
Boruc | converting | penalty kick
Boruc | scored | his goal for club
Boruc | converting penalty kick in | home game against Widzew Łódź
Boruc | converting penalty kick in | home game
Boruc | scored | his only goal
Boruc | scored | his only goal for club
season | following | UEFA Cup
Boruc | made | his first appearance for Poland
Boruc | playing in | scoreless draw against Republic of Ireland
Boruc | playing in | draw against Republic of Ireland
Boruc | made | his appearance for Poland
Boruc | made | his first appearance
Boruc | also made | his first appearance for Poland
Boruc | playing in | scoreless draw
Boruc | playing in | draw
Boruc | playing in | draw against Republic
Boruc | also made | his first appearance
Boruc | playing in | scoreless draw against Republic
Boruc | made | his appearance
Boruc | also made | his appearance
Boruc | also made | his appearance for Poland
Boruc | remain | Legia 's key player again playing in all of league fixtures
Boruc | remain | Legia 's key player again playing in all of club 's league fixtures
Boruc | remain | Legia 's key player playing in all club 's league fixtures
Boruc | remain | Legia 's player again playing in all of club 's league fixtures
Boruc | remain | Legia 's key player again playing in all club 's league fixtures
Boruc Legia 's key player | again playing in | all club league fixtures
Boruc | remain | Legia 's player playing in all of club 's league fixtures
Boruc | remain | Legia 's key player
Boruc | remain | Legia 's player playing
Boruc | remain | Legia 's player playing in all club 's league fixtures
Boruc Legia 's player | playing in | all club league fixtures
Legia | has | key player again playing in all of league fixtures
club | of | league fixtures
Boruc | remain | Legia 's key player playing
Boruc | remain | Legia 's player
Boruc Legia 's key player | playing in | all league fixtures
Boruc | remain | Legia 's player playing in all league fixtures
Boruc | remain | Legia 's player again playing in all of league fixtures
Boruc | remain | Legia 's key player again playing in all league fixtures
Boruc Legia 's player | again playing in | all league fixtures
Boruc | remain | Legia 's player again playing in all club 's league fixtures
Boruc | remain | Legia 's player again playing in all league fixtures
Boruc | remain | Legia 's player playing in all of league fixtures
Boruc Legia 's player | again playing in | all club league fixtures
Boruc | remain | Legia 's key player playing in all of club 's league fixtures
Boruc | remain | Legia 's player again playing
Boruc Legia 's player | playing in | all league fixtures
Boruc | remain | Legia 's key player again playing
Boruc Legia 's key player | again playing in | all league fixtures
Boruc | remain | Legia 's key player playing in all league fixtures
Boruc | remain | Legia 's key player playing in all of league fixtures
Boruc Legia 's key player | playing in | all club league fixtures
Boruc | has | performances for Legia
club | extend | his contract
club | extend up | his contract
Boruc | was made captain In | March 2005
Boruc | was made | captain
Boruc | was made | captain of side
champions | is in | row
they | came | distant third
they | came | third
Legia 's UEFA Cup run | disposing of | FC Tbilisi 7
aggregate | is in | relatively easy qualifying tie
Legia | has | UEFA Cup run
Legia 's UEFA Cup run | was | also relatively brief
Legia 's UEFA Cup run | was | relatively brief
aggregate | is in | first-round proper to Austria
Legia 's UEFA Cup run | was | also brief
Legia 's UEFA Cup run | was | brief
Boruc 's form | attracting attention from | abroad
Boruc 's form | was by | summer
Boruc 's form | was by | summer of 2005
summer | attracting | attention
Boruc 's form | attracting | attention
Boruc | has | form
summer | attracting attention from | abroad
Boruc | signed with | club Celtic
Boruc | signed On | 20 July 2005
Boruc | signed with | Scottish club Celtic
deal | was | initially year 's loan with option
deal | was | year 's loan
deal | was | initially year 's loan with option make
deal | was | year 's loan with option make
year 's loan | is with | option make
deal | was | initially year 's loan
deal | was | year 's loan with option
move | was made | permanent
move | was | later made
move | was later made | permanent
move | was | made
Boruc | penning | three-and-a-half-year contract
Boruc | penning contract on | 17 October
Boruc | penning contract until | 2009
Boruc | penning | contract
new contract | is with | Celtic set keep at club until 2011
it | was reported On | 5 January 2008
it | was | reported
Boruc | made | his debut for Celtic
he | replaced David Marshall for | second leg
he | replaced David Marshall for | leg of their UEFA Champions League qualifier tie against side Artmedia Bratislava
he | replaced David Marshall for | leg of their UEFA Champions League qualifier tie
he | replaced David Marshall for | second leg of their UEFA Champions League qualifier tie against Slovakian side Artmedia Bratislava
he | replaced David Marshall for | leg of their UEFA Champions League qualifier tie against Slovakian side Artmedia Bratislava
he | replaced David Marshall for | second leg of their UEFA Champions League qualifier tie
he | replaced | David Marshall
he | replaced David Marshall for | leg
he | replaced David Marshall for | second leg of their UEFA Champions League qualifier tie against side Artmedia Bratislava
Boruc | made | his debut
Boruc | established | himself
displaying | combination of | outstanding shot-stopping
himself | displaying | combination of shot-stopping
displaying | combination of | shot-stopping
himself | displaying | combination
himself | displaying | combination of outstanding shot-stopping
Boruc | quickly established | himself
he | kept | 17 sheets
he | made | 40 appearances
he | kept | 17 clean sheets
winner | to | medals collection
