Ryan | plays_for | Mariners
Ryan | plays_for | School
Bong | plays_for | Wigan
Lukaku | plays_for | United
Bong | plays_for | United
Borisov | plays_for | Everton
El-Abd | plays_for | Rovers
Dunk | plays_for | Rovers
Greer | plays_for | Rovers
Andone | is | Romanian
Knockaert | plays_for | Dyer
Drinkwater | plays_for | United
Jahanbakhsh | is | Dutch
Jahanbakhsh | is | Dutch
Jahanbakhsh | is | Dutch
Murray | plays_for | City
Murray | plays_for | United
Murray | plays_for | Town
Gerrard | plays_for | Liverpool
Murray | plays_for | Liverpool
Mignolet | plays_for | Liverpool
Murray | plays_for | City
Murray | plays_for | Brighton
Caddis | plays_for | City
Burn | plays_for | City
Schelotto | is | Portuguese
Hemed | is | Polish
Tau | is | Belgian
Walton | plays_for | Hotspur
Walton | plays_for | Luton
Oliver | plays_for | Luton
Hughton | plays_for | City
