Eriksson | plays_for | United
Schmeichel | plays_for | United
Schmeichel | plays_for | Arsenal
Persie | plays_for | Arsenal
Schmeichel | plays_for | City
Eriksson | plays_for | City
Schmeichel | plays_for | Leeds
Higgs | plays_for | Leeds
Schmeichel | plays_for | Arsenal
Schmeichel | plays_for | Hotspur
Schwarzer | plays_for | Hotspur
Hulme | plays_for | CP
Simpson | plays_for | United
O'Shea | plays_for | Athletic
Neville | plays_for | United
Brown | plays_for | United
Simpson | plays_for | United
Simpson | plays_for | Arsenal
Simpson | plays_for | Arsenal
Laet | plays_for | Arsenal
Simpson | plays_for | Arsenal
Laet | plays_for | Arsenal
Simpson | plays_for | Arsenal
Söyüncü | is | German
Morgan | plays_for | City
Morgan | plays_for | Hotspur
Balotelli | plays_for | City
Fletcher | plays_for | City
Pulis | plays_for | City
Evans | plays_for | UEFA
Evans | plays_for | UEFA
Iheanacho | is | Nigerian
Iheanacho | plays_for | City
Sterling | plays_for | City
Iheanacho | plays_for | Hotspur
Iheanacho | plays_for | City
Iheanacho | plays_for | City
Vardy | plays_for | City
Gill | plays_for | City
Vardy | plays_for | Wrexham
Vardy | plays_for | City
Vardy | plays_for | Arsenal
Vardy | plays_for | Arsenal
Vardy | plays_for | Arsenal
Wenger | plays_for | Arsenal
Vardy | plays_for | City
Vardy | plays_for | Arsenal
Vardy | plays_for | City
Mahrez | plays_for | City
Maddison | plays_for | City
Maddison | plays_for | City
Albrighton | plays_for | Liverpool
Maguire | plays_for | Wanderers
Diamé | plays_for | Wednesday
Maguire | plays_for | Middlesbrough
Maguire | plays_for | Liverpool
Jakupović | plays_for | City
Bruce | plays_for | City
Harper | plays_for | Arsenal
Welbeck | plays_for | Arsenal
Jakupović | plays_for | Arsenal
McGregor | plays_for | Tigers
Jakupović | plays_for | Tigers
Hull | is | Ghanaian
Amartey | plays_for | City
Kane | plays_for | Hotspur
Okazaki | plays_for | Chelsea
Kljestan | is | Belgian
Tielemans | is | Belgian
Tielemans | is | Belgian
James | plays_for | Southampton
Ndidi | is | Belgian
Ndidi | is | Belgian
Ndidi | plays_for | Liverpool
Mattersburg | is | Austrian
Ranieri | plays_for | Arsenal
Fuchs | plays_for | Arsenal
Simpson | plays_for | Arsenal
Schlupp | plays_for | Arsenal
Laet | plays_for | Arsenal
Fuchs | plays_for | Arsenal
Manninger | plays_for | Arsenal
Choudhury | plays_for | Liverpool
Benković | is | Croatian
Kapustka | is | Belgian
Montero | plays_for | Vitória
Slimani | plays_for | Vitória
Slimani | plays_for | City
Vardy | plays_for | City
King | plays_for | City
Slimani | plays_for | Arsenal
Pérez | plays_for | Arsenal
Ritchie | plays_for | Arsenal
