Fabinho | is | Portuguese
Dijk | is | Dutch
Dijk | plays_for | Celtic
Dijk | plays_for | Southampton
Ward-Prowse | plays_for | Southampton
Fonte | plays_for | Southampton
Dijk | plays_for | Liverpool
Dijk | plays_for | Liverpool
Bellamy | plays_for | Liverpool
Wijnaldum | is | Dutch
Obertan | plays_for | Southampton
Wijnaldum | plays_for | Newcastle
Wijnaldum | plays_for | Liverpool
Škrtel | plays_for | Liverpool
Wijnaldum | plays_for | Liverpool
Wijnaldum | plays_for | Liverpool
Lallana | plays_for | Arsenal
Stewart | plays_for | Arsenal
Wijnaldum | plays_for | Liverpool
Wijnaldum | plays_for | Liverpool
Wijnaldum | plays_for | Liverpool
Lovren | is | Croatian
Lovren | plays_for | Southampton
Lovren | plays_for | Southampton
Lallana | plays_for | Southampton
Shaw | plays_for | Southampton
Lambert | plays_for | Southampton
Lovren | plays_for | Southampton
Lambert | plays_for | Liverpool
Lallana | plays_for | Liverpool
Dijk | plays_for | Liverpool
Lovren | plays_for | Liverpool
Sakho | plays_for | Palace
Lovren | plays_for | Liverpool
Dijk | plays_for | Liverpool
Lovren | plays_for | Liverpool
Lovren | plays_for | Liverpool
Milner | plays_for | Liverpool
Smith | plays_for | United
Milner | plays_for | Chelsea
Milner | plays_for | Chelsea
Milner | plays_for | City
Milner | plays_for | Liverpool
Milner | plays_for | City
Milner | plays_for | Liverpool
Milner | plays_for | City
Milner | plays_for | Trafford
Milner | plays_for | Liverpool
Milner | plays_for | Liverpool
Milner | plays_for | Liverpool
Milner | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Keïta | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Sterling | plays_for | Arsenal
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | City
Firmino | plays_for | Liverpool
Firmino | plays_for | Town
Firmino | plays_for | Liverpool
Firmino | plays_for | Southampton
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Rodgers | plays_for | Liverpool
Klopp | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Doyle | plays_for | Liverpool
Kane | plays_for | Liverpool
Agüero | plays_for | Liverpool
Firmino | plays_for | Liverpool
Klopp | plays_for | Liverpool
Firmino | plays_for | Liverpool
Firmino | plays_for | Liverpool
Bobby | plays_for | Liverpool
Roberto | plays_for | Liverpool
Mané | plays_for | Liverpool
Fowler | plays_for | Arsenal
Mané | plays_for | Liverpool
Mané | plays_for | Liverpool
Mané | plays_for | Everton
Mané | plays_for | Hotspur
Mané | plays_for | Liverpool
Mané | plays_for | Liverpool
Mané | plays_for | Liverpool
Mané | plays_for | Liverpool
Mané | plays_for | Liverpool
Salah | plays_for | Liverpool
Firmino | plays_for | Liverpool
Mané | plays_for | Southampton
Salah | plays_for | Chelsea
Salah | plays_for | Chelsea
Mahlab | is | Egyptian
Gharib | is | Egyptian
Salah | plays_for | Chelsea
Salah | plays_for | Chelsea
Salah | plays_for | Chelsea
