Muñoz | plays_for | City
Bravo | plays_for | City
Biglia | plays_for | Centenario
Walker | is | English
Walker | plays_for | City
Walker | plays_for | United
Walker | plays_for | United
Walker | plays_for | United
Naughton | plays_for | Hotspur
Walker | plays_for | Tottenham
Walker | plays_for | Villa
Walker | plays_for | Hotspur
Walker | plays_for | Tottenham
Walker | plays_for | PFA
Walker | plays_for | United
Walker | plays_for | Tottenham
Walker | plays_for | Tottenham
Walker | plays_for | PFA
Walker | plays_for | Tottenham
Walker | plays_for | Everton
Walker | plays_for | Arsenal
Walker | plays_for | UEFA
Walker | plays_for | Nike
Kompany | plays_for | City
Kompany | plays_for | United
Kompany | plays_for | City
Kompany | plays_for | City
Marriner | plays_for | Hotspur
Lescott | plays_for | United
Kompany | plays_for | City
Kompany | plays_for | Chelsea
Kompany | plays_for | Sunderland
Kompany | is | Belgian
Jocelyne | is | Belgian
Naismith | plays_for | Chelsea
Arnautović | plays_for | City
Sterling | plays_for | Liverpool
Downing | plays_for | Liverpool
Sterling | plays_for | Liverpool
Owen | plays_for | Liverpool
Rodgers | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Carragher | plays_for | Liverpool
Souness | plays_for | Liverpool
Sterling | plays_for | City
Sterling | plays_for | Southampton
Sterling | plays_for | Arsenal
Sané | plays_for | Liverpool
Agüero | plays_for | Arsenal
Sané | plays_for | Hotspur
Agüero | is | Argentine
Agüero | plays_for | City
Agüero | plays_for | Napoli
Torres | plays_for | Liverpool
Calderón | plays_for | Chelsea
Agüero | plays_for | City
Atlético | plays_for | City
Agüero | plays_for | City
Agüero | plays_for | Arsenal
Johnson | plays_for | Arsenal
Reina | plays_for | Liverpool
Agüero | plays_for | City
Agüero | plays_for | Chelsea
Agüero | plays_for | Southampton
Agüero | plays_for | City
Agüero | plays_for | Arsenal
Agüero | plays_for | Fulham
Agüero | plays_for | Liverpool
Agüero | plays_for | United
Agüero | plays_for | Newcastle
Agüero | plays_for | City
Agüero | plays_for | Wigan
Agüero | plays_for | City
Maradona | plays_for | Madrid
Agüero | plays_for | Madrid
Ronaldo | plays_for | Madrid
Agüero | plays_for | City
Henry | plays_for | Hotspur
Agüero | plays_for | Sunderland
Agüero | plays_for | Barcelona
Agüero | plays_for | Everton
Agüero | plays_for | Liverpool
Džeko | plays_for | Liverpool
Agüero | plays_for | City
Jones | plays_for | Southampton
Fonte | plays_for | Southampton
Agüero | plays_for | Everton
Agüero | plays_for | City
Tevez | plays_for | Liverpool
Agüero | plays_for | City
Agüero | plays_for | Chelsea
Luiz | plays_for | Chelsea
Agüero | plays_for | Liverpool
Ospina | plays_for | Arsenal
Agüero | plays_for | Arsenal
Agüero | plays_for | Paraguay
Aguero | plays_for | City
Tevez | plays_for | City
Piero | plays_for | City
Maradona | plays_for | City
Messi | is | Argentine
Ustaritz | plays_for | RCD
Mangala | plays_for | Arsenal
Mangala | plays_for | City
Mangala | is | Spanish
Mangala | plays_for | City
Mombaerts | plays_for | Mouscron
Bruyne | plays_for | Chelsea
Bruyne | plays_for | Chelsea
Mourinho | plays_for | Chelsea
Bruyne | plays_for | Chelsea
Bruyne | plays_for | Chelsea
Allofs | plays_for | City
Bruyne | plays_for | City
Bruyne | plays_for | City
Ogden | is | Belgian
Trapp | is | Belgian
Bruyne | plays_for | Arsenal
Bruyne | plays_for | Barcelona
Bruyne | plays_for | Hotspur
Sané | plays_for | Hotspur
Bruyne | plays_for | Liverpool
Guardiola | plays_for | Hotspur
Bruyne | plays_for | Hotspur
Bruyne | plays_for | EFL
Guardiola | plays_for | Arsenal
Bruyne | plays_for | Southampton
Jesus | plays_for | Southampton
Bruyne | is | Belgian
Bruyne | is | Dutch
Wenger | plays_for | Arsenal
Delph | plays_for | Arsenal
Szczęsny | plays_for | Arsenal
Villa | plays_for | Liverpool
Navas | plays_for | City
Sané | plays_for | Hotspur
Sané | plays_for | Liverpool
Gua | plays_for | City
Sterling | plays_for | Hotspur
Ederson | plays_for | Hotspur
Kane | plays_for | Hotspur
Carvalho | is | Portuguese
Carvalho | plays_for | City
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | UEFA
Silva | is | Spanish
Silva | plays_for | City
Johnson | plays_for | United
Silva | plays_for | City
Silva | plays_for | Everton
Silva | plays_for | United
Silva | plays_for | City
Silva | plays_for | City
Džeko | plays_for | Hotspur
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | City
Silva | plays_for | Liverpool
Silva | plays_for | City
Mendy | plays_for | City
Mahrez | plays_for | City
Mahrez | plays_for | City
Mahrez | plays_for | Arsenal
Mahrez | plays_for | City
Mahrez | plays_for | City
Otamendi | is | Argentine
Moraes | plays_for | City
Mané | plays_for | Liverpool
Ederson | plays_for | City
Agüero | plays_for | City
Ederson | plays_for | City
Sterling | plays_for | Hotspur
Jesus | plays_for | Palace
Jesus | plays_for | Southampton
Foden | plays_for | City
Foden | plays_for | Chelsea
Agüero | plays_for | Chelsea
Foden | plays_for | Chelsea
Muric | plays_for | City
Bravo | plays_for | City
Roberts | plays_for | City
Ho | plays_for | City
Roberts | plays_for | Celtic
Roberts | plays_for | City
Robert | plays_for | City
García | plays_for | EFL
Nmecha | plays_for | EFL
Stones | plays_for | Chelsea
Poveda | plays_for | Arsenal
