Gea | plays_for | Hotspur
Gea | plays_for | Arsenal
Rooney | plays_for | United
Gea | plays_for | Chelsea
Ramires | plays_for | Chelsea
Gea | plays_for | Chelsea
Evra | plays_for | City
Fletcher | plays_for | City
Gea | plays_for | United
Lindegaard | plays_for | United
Lindegaard | plays_for | Chelsea
Gea | plays_for | Chelsea
Gea | plays_for | Liverpool
Gea | plays_for | Arsenal
Smalling | plays_for | Arsenal
Gea | plays_for | PFA
Gea | plays_for | Arsenal
Krul | plays_for | Arsenal
Mannone | plays_for | Arsenal
Gea | plays_for | PFA
Edurne | is | Spanish
Lindelöf | plays_for | United
Bailly | plays_for | Chelsea
Pogba | plays_for | United
Pogba | plays_for | Chelsea
Pogba | plays_for | City
Pogba | plays_for | City
Hernández | plays_for | City
Pogba | plays_for | Torino
Pogba | plays_for | EFL
Pogba | plays_for | City
Raiola | plays_for | City
Pogba | plays_for | City
Raiola | plays_for | City
Platini | is | French
Wenger | plays_for | Arsenal
Hart | plays_for | City
Delaney | plays_for | Arsenal
Özil | plays_for | Watford
Özil | plays_for | Arsenal
Oxlade-Chamberlain | plays_for | Arsenal
Rosický | plays_for | Arsenal
Hull | plays_for | Chelsea
Wenger | plays_for | Arsenal
Lemar | plays_for | Arsenal
Horn | plays_for | Arsenal
Walcott | plays_for | Doncaster
García | is | Spanish
Mata | plays_for | Chelsea
Mourinho | plays_for | Chelsea
Mata | plays_for | Chelsea
Johnny | plays_for | Chelsea
Balagué | is | Spanish
Mata | plays_for | Chelsea
Lev | plays_for | Chelsea
Mata | plays_for | Chelsea
Lampard | plays_for | Chelsea
Mata | plays_for | Fulham
Mata | plays_for | Chelsea
Mata | plays_for | Rangers
Mata | plays_for | Andrew
Doyle | plays_for | Andrew
Mata | plays_for | Hotspur
Ramires | plays_for | Hotspur
Malouda | plays_for | Hotspur
Mata | plays_for | Chelsea
Mata | plays_for | Rangers
Torres | plays_for | Rangers
Mata | plays_for | Chelsea
Ramires | plays_for | Chelsea
Mata | plays_for | Liverpool
Wise | plays_for | Chelsea
Zola | plays_for | Chelsea
Mata | plays_for | Chelsea
Silva | plays_for | City
Sturridge | plays_for | City
Mata | plays_for | City
Cole | plays_for | City
Cole | plays_for | Chelsea
Torres | plays_for | Arsenal
Mata | plays_for | Chelsea
Mata | plays_for | Chelsea
Benítez | plays_for | Chelsea
Mata | plays_for | Chelsea
Mata | plays_for | Chelsea
Ivanović | plays_for | Chelsea
Mata | plays_for | Arsenal
Mata | plays_for | Chelsea
Mata | plays_for | Chelsea
Mata | plays_for | Chelsea
Terry | plays_for | Hotspur
Rooney | plays_for | Everton
María | plays_for | Everton
Mata | plays_for | Liverpool
Mata | plays_for | Chelsea
Mata | plays_for | Chelsea
Lukaku | is | Belgian
Lukaku | plays_for | Albion
Lukaku | plays_for | Sunderland
Long | plays_for | Sunderland
Fortuné | plays_for | Sunderland
Lukaku | plays_for | United
Lukaku | plays_for | Chelsea
Lukaku | plays_for | Chelsea
Barkley | plays_for | United
Lukaku | plays_for | Liverpool
Lukaku | plays_for | Liverpool
Barry | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Lukaku | plays_for | Villa
Lukaku | plays_for | Everton
Ferguson | plays_for | Hotspur
Lukaku | plays_for | Chelsea
Lingard | plays_for | Chelsea
Mourinho | plays_for | United
Mourinho | plays_for | United
Solskjær | plays_for | City
Lukaku | plays_for | United
Lukaku | plays_for | City
Ronaldo | plays_for | United
Rashford | plays_for | City
Herrera | plays_for | Chelsea
Rashford | plays_for | Liverpool
Lukaku | plays_for | Southampton
Herrera | plays_for | Southampton
Rashford | plays_for | Hotspur
Lallana | plays_for | UEFA
Martial | is | French
Falcao | plays_for | Nantes
Mata | plays_for | Liverpool
Fellaini | plays_for | Everton
Mata | plays_for | Watford
Martial | plays_for | Arsenal
Giroud | plays_for | Bleus
Benaaddane | plays_for | Sport
Smalling | plays_for | Sofia
Smalling | plays_for | United
Smalling | plays_for | Chelsea
Vidić | plays_for | City
Young | plays_for | City
Smalling | plays_for | Chelsea
Lingard | plays_for | Albion
Ferguson | plays_for | Palace
Lingard | plays_for | Wednesday
Myhill | plays_for | Albion
Borthwick-Jackson | plays_for | City
Lingard | plays_for | Chelsea
Lingard | plays_for | Liverpool
Martial | plays_for | United
Pereira | plays_for | Hotspur
Mata | plays_for | Hotspur
Pereira | is | Spanish
Rojo | is | Argentine
Demichelis | plays_for | United
Rojo | plays_for | United
Kolašinac | plays_for | FIFA
Young | plays_for | Chelsea
James | plays_for | Chelsea
Young | plays_for | Hotspur
Ja | plays_for | City
Young | plays_for | Arsenal
Herrera | plays_for | Arsenal
Young | plays_for | Arsenal
Valencia | plays_for | United
Young | plays_for | City
Martial | plays_for | City
Young | plays_for | Liverpool
Rashford | plays_for | Hotspur
Teixeira | is | Portuguese
Young | plays_for | Hotspur
Young | plays_for | Arsenal
Agüera | is | Spanish
Rooney | is | Belgian
Herrera | plays_for | City
Ibrahimović | plays_for | Southampton
Herrera | plays_for | Chelsea
Romero | is | Argentine
Shaw | plays_for | Southampton
Shaw | plays_for | Southampton
Puncheon | plays_for | Southampton
Shaw | plays_for | Southampton
Adkins | plays_for | Southampton
Puncheon | plays_for | Southampton
Shaw | plays_for | City
Holt | plays_for | City
Boruc | plays_for | City
Shaw | plays_for | Southampton
Shaw | plays_for | Southampton
Shaw | plays_for | Southampton
Shaw | plays_for | City
Pearce | plays_for | Southampton
Shaw | plays_for | Southampton
Welbeck | plays_for | Arsenal
Valencia | plays_for | City
Matić | plays_for | Chelsea
Malouda | plays_for | Chelsea
Luiz | plays_for | Chelsea
Matić | plays_for | Chelsea
Matić | plays_for | Chelsea
Matić | plays_for | Chelsea
Matić | plays_for | Chelsea
Schweinsteiger | plays_for | Chelsea
Matić | plays_for | Chelsea
Darmian | is | Italian
Gaal | plays_for | Hotspur
Darmian | plays_for | Liverpool
McTominay | plays_for | City
