Lloris | is | French
Lloris | plays_for | Nice
Baratelli | plays_for | Nice
Lloris | is | Italian
Coupet | plays_for | Hotspur
Dida | plays_for | Hotspur
Lloris | plays_for | Hotspur
Robinson | plays_for | Hotspur
Lloris | plays_for | Liverpool
Lloris | plays_for | Liverpool
Mandanda | plays_for | Marseille
Lloris | plays_for | Hotspur
Friedel | plays_for | Tottenham
Ramsbottom | plays_for | School
Walker | plays_for | Tottenham
Alderweireld | is | Belgian
Vermaelen | is | Belgian
Alderweireld | plays_for | Southampton
Alderweireld | plays_for | Hotspur
Vertonghen | is | Austrian
Alderweireld | is | Belgian
Vertonghen | is | Belgian
Vertonghen | plays_for | Groningen
Vermaelen | plays_for | Arsenal
Alderweireld | plays_for | Arsenal
Vertonghen | plays_for | Ajax
Vertonghen | is | English
Vertonghen | plays_for | Hotspur
Evans | plays_for | United
Vertonghen | plays_for | Liverpool
Vertonghen | plays_for | Spurs
Vertonghen | plays_for | Dortmund
Vertonghen | is | African
Vertonghen | is | Belgian
Vertonghen | is | Belgian
Paulinho | plays_for | Partizan
Eriksen | plays_for | Liverpool
Xavi | plays_for | Hotspur
Xavi | plays_for | Iniesta
Andres | plays_for | Hotspur
Andres | plays_for | Iniesta
Brady | plays_for | Arsenal
Jackett | plays_for | City
Kane | plays_for | Chelsea
Shelvey | plays_for | Tottenham
Rose | plays_for | Tottenham
Kan | plays_for | City
Kane | plays_for | Tottenham
Kane | plays_for | Liverpool
Miller | plays_for | Chelsea
Kane | plays_for | Sport
Mo | plays_for | Chelsea
Kane | plays_for | Twitter
Lamela | is | Argentine
Lamela | plays_for | Liverpool
Wanyama | plays_for | Chelsea
Vorm | is | Dutch
Vorm | is | Dutch
Vorm | plays_for | Hotspur
Lloris | plays_for | Hotspur
Vorm | plays_for | Hotspur
Croker | plays_for | Association
Dier | plays_for | Hotspur
Dier | plays_for | City
Walker | plays_for | United
Walker | plays_for | United
Walker | plays_for | United
Naughton | plays_for | Hotspur
Walker | plays_for | Tottenham
Walker | plays_for | Villa
Walker | plays_for | Hotspur
Walker | plays_for | Tottenham
Walker | plays_for | PFA
Walker | plays_for | United
Walker | plays_for | Tottenham
Walker | plays_for | Tottenham
Walker | plays_for | PFA
Walker | plays_for | Tottenham
Walker | plays_for | Everton
Walker | plays_for | Arsenal
Walker | plays_for | UEFA
Walker | plays_for | Nike
Sissoko | plays_for | FC
Sissoko | plays_for | Southampton
Sissoko | plays_for | Hotspur
Llorente | plays_for | Hotspur
Alli | plays_for | City
Alli | plays_for | United
Dons | plays_for | City
Alli | plays_for | Chelsea
Keynes | is | Argentine
Foyth | is | Argentine
Alli | plays_for | School
Alli | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Gerrard | plays_for | Liverpool
Lampard | plays_for | Liverpool
Foyth | plays_for | Hotspur
Forecast | plays_for | Southampton
Eriksen | is | Danish
Eriksen | is | Dutch
Tomasson | is | Dutch
Eriksen | plays_for | Hotspur
Eriksen | plays_for | Hotspur
Sigurðsson | plays_for | City
Rodriguez | plays_for | Southampton
Lallana | plays_for | Southampton
Ericksen | plays_for | Chelsea
Lucas | plays_for | Hotspur
Lucas | plays_for | Barcelona
Cruyff | is | Dutch
Cruyff | is | Dutch
Janssen | is | Dutch
