Cavaleiro | plays_for | Southampton
Jota | plays_for | Southampton
Casemiro | plays_for | Madeira
Jimenéz | plays_for | UNAM
Jiménez | plays_for | UANL
Cavaleiro | plays_for | Southampton
Cavaleiro | plays_for | Arsenal
Jiménez | plays_for | Chelsea
Coady | plays_for | Liverpool
Coady | plays_for | Liverpool
Jota | plays_for | Vitória
Ruddy | is | Scottish
Ruddy | plays_for | City
Ramires | plays_for | Chelsea
Ruddy | plays_for | Chelsea
Torres | plays_for | Chelsea
Giles | plays_for | School
Moutinho | plays_for | Liga
Ruddy | plays_for | Wanderers
Praet | is | Belgian
Dendoncker | is | Belgian
Eupen | is | Belgian
Jiménez | plays_for | Chelsea
Hause | plays_for | F.C.
Roderick | is | Greek
Herc | plays_for | Liga
Weimann | plays_for | Chelsea
Abrahams | plays_for | City
Żyro | plays_for | City
