England | outside League is | EPL
it | operates on | system of promotion with English Football League
it | operates on | system
it | operates on | system of promotion
promotion | is with | English Football League
it | Contested by | 20 clubs
Premier League | is corporation | member clubs act as shareholders
Premier League | is corporation | member clubs act
member clubs | act as | shareholders
Premier League | is corporation | in which member clubs act
Premier League | is corporation | in which member clubs act as shareholders
team | playing | 38 matches
Seasons | run from | August
Seasons | run to | May
Most games | are played on | Saturday
games | are | played
games | are played on | Saturday
Most games | are | played
47 English | making | it cross-border league
47 English | making | two Welsh clubs
Premier League | has featured | 47 English
47 English | making | it league
competition | was formed following | decision of clubs in Football League First Division founded
competition | was | formed as FA Premier League following decision of clubs in Football League First Division founded in 1888
competition | was formed following | decision of clubs in Football League First Division founded in 1888
competition | was formed following | decision
competition | was formed following | decision of clubs in Football League First Division
competition | was | formed as FA Premier League following decision of clubs in Football League First Division founded
competition | was | formed as FA Premier League on 20 February 1992
competition | was | formed as FA Premier League following decision in Football League First Division
competition | was formed following | decision in Football League First Division founded
competition | was formed on | 20 February 1992
competition | was formed following | decision of clubs
competition | was | formed as FA Premier League following decision founded
competition | was | formed as FA Premier League following decision of clubs in Football League First Division
competition | was | formed as FA Premier League following decision of clubs founded in 1888
competition | was formed as | FA Premier League
competition | was formed following | decision founded in 1888
competition | was | formed as FA Premier League following decision founded in 1888
competition | was | formed
competition | was | formed as FA Premier League following decision in Football League First Division founded in 1888
competition | was formed following | decision of clubs founded
competition | was formed following | decision in Football League First Division founded in 1888
competition | was formed following | decision of clubs founded in 1888
competition | was | formed as FA Premier League following decision of clubs founded
competition | was | formed as FA Premier League following decision
competition | was formed following | decision founded
competition | was | formed as FA Premier League following decision of clubs
competition | was formed following | decision in Football League First Division
competition | was | formed as FA Premier League following decision in Football League First Division founded
decision | is in | Football League First Division
deal | was | worth # 1 billion year domestically
deal | was | worth
deal | was | worth domestically
league | generates | $ 2.2 billion
league | generates | $ 2.2 billion per year
Clubs | were | revenues
Clubs | were | apportioned revenues
Clubs | were revenues of | # 2.4 billion
apportioned revenues | is in | 2016
Clubs | were apportioned revenues of | # 2.4 billion
Premier League | is | sports league
Premier League | is | most-watched sports league in world
broadcast | is in | 212 territories
Premier League | is | most-watched sports league
most-watched sports league | broadcast in | 212 territories
most-watched sports league | broadcast to | 643 million homes
most-watched sports league | is in | world
Premier League | is | sports league in world
Premier League match attendance | exceeded | highest of professional football league behind Bundesliga 's 43,500
average Premier League match attendance | exceeded | second highest of professional football league
average Premier League match attendance | exceeded | highest of professional football league
average Premier League match attendance | exceeded | highest of professional football league behind Bundesliga 's 43,500
average Premier League match attendance | exceeded | second highest of professional football league behind Bundesliga 's 43,500
Premier League match attendance | exceeded | second highest of professional football league behind Bundesliga 's 43,500
Premier League match attendance | exceeded | highest of professional football league
Premier League match attendance | exceeded | second highest of professional football league
stadium occupancies | are near | capacity
Most stadium occupancies | are near | capacity
performances | is in | European competitions
Forty-nine clubs | have competed in | 1992
Forty-nine clubs | have competed since | inception
clubs | have competed in | 1992
clubs | have competed since | inception of Premier League
clubs | have competed since | inception
Forty-nine clubs | have competed since | inception of Premier League
most points | is in | Premier League season
late 1980s | marked | low point for English football
late 1980s | marked point Despite | significant European success in 1970s
late 1980s | marked point Despite | significant European success
late 1980s | marked point Despite | significant success
late 1980s | marked | point for football
significant European success | is in | 1970s
late 1980s | marked point Despite | European success
late 1980s | marked point Despite | significant success in 1970s
late 1980s | marked | low point
late 1980s | marked | point
late 1980s | marked point Despite | European success in 1970s
late 1980s | marked point Despite | success
late 1980s | marked point Despite | success in 1970s
